ticker,earnrelease_date,earnrelease_time,timestart,avg(t.twitterpermin)
ADBE,2012-06-19,16:04:00,16:02:03,10.775000
ADBE,2012-09-19,16:03:00,15:56:19,14.500000
ADBE,2012-12-13,16:03:00,16:02:24,10.850000
ADBE,2013-03-19,16:02:00,16:00:43,59.200000
ADBE,2013-09-17,16:04:00,16:02:25,34.500000
AKAM,2012-07-25,16:01:00,15:52:14,1.300000
AKAM,2012-10-24,16:01:00,15:56:34,2.600000
AKAM,2013-02-06,16:01:00,15:50:05,0.625000
AKAM,2013-04-24,16:01:00,16:00:57,3.225000
AKAM,2013-07-24,16:01:00,15:56:14,1.050000
ALTR,2012-07-24,16:15:00,16:06:24,3.200000
ALTR,2013-01-23,16:15:00,16:09:38,4.825000
ALTR,2013-04-25,16:15:00,16:07:30,5.450000
ALTR,2013-07-23,16:15:00,16:07:09,2.833333
ALXN,2012-07-25,06:29:00,06:20:36,0.075000
ALXN,2013-04-25,06:29:00,06:20:09,0.075000
ALXN,2013-07-25,06:29:00,06:22:11,0.125000
AMAT,2012-05-17,16:04:00,16:03:03,0.150000
AMAT,2012-08-15,16:04:00,15:58:48,1.875000
AMAT,2013-02-13,16:00:00,15:53:16,0.500000
AMAT,2013-05-16,15:58:00,15:48:36,0.150000
AMAT,2013-08-15,16:03:00,16:02:19,3.066667
AMGN,2012-07-26,16:03:00,15:55:33,2.325000
AMGN,2013-01-23,16:01:00,15:59:11,1.775000
AMGN,2013-04-23,16:00:00,15:52:02,0.933333
AMGN,2013-07-30,16:02:00,15:54:04,1.575000
AMZN,2012-07-26,16:00:00,15:55:32,122.925000
AMZN,2013-01-29,16:00:00,15:51:00,208.800000
AMZN,2013-04-25,16:00:00,15:57:00,172.066667
AMZN,2013-07-25,16:01:00,15:52:15,152.325000
APOL,2013-01-08,16:01:00,15:56:30,3.200000
BBBY,2012-06-20,16:15:00,16:04:36,0.000000
BBBY,2012-09-19,16:15:00,16:06:53,0.000000
BBBY,2012-12-19,16:15:00,16:05:58,0.025000
BBBY,2013-04-10,16:15:00,16:12:10,0.000000
BIDU,2012-07-23,16:00:00,15:58:16,5.225000
BIDU,2012-10-29,16:30:00,16:25:33,2.275000
BIDU,2013-04-25,16:30:00,16:28:32,NULL
BIDU,2013-07-24,16:01:00,15:56:17,1.400000
BRCM,2012-07-24,16:04:00,15:55:53,3.475000
BRCM,2013-01-29,16:04:00,16:01:33,NULL
BRCM,2013-04-23,16:04:00,16:02:34,4.200000
BRCM,2013-07-23,16:04:00,15:56:40,1.425000
CELG,2012-07-26,07:30:00,07:23:31,0.275000
CELG,2013-01-24,07:30:00,07:20:53,0.325000
CELG,2013-04-25,07:28:00,07:22:59,0.350000
CELG,2013-07-25,07:33:00,07:25:34,2.500000
CERN,2012-07-26,16:01:00,15:55:36,0.450000
CERN,2013-02-05,16:01:00,15:59:19,0.650000
CERN,2013-04-25,16:01:00,15:57:05,0.766667
CERN,2013-07-25,16:01:00,15:52:19,1.100000
CHRW,2012-07-24,16:15:00,16:06:28,0.000000
CHRW,2013-02-05,16:21:00,16:20:17,NULL
CHRW,2013-05-07,16:15:00,16:12:42,0.025000
COST,2012-12-19,09:41:00,09:33:19,11.225000
COST,2013-03-13,14:39:00,14:32:56,7.075000
CSCO,2012-08-15,16:04:00,15:58:53,21.500000
CSCO,2013-02-13,16:04:00,16:03:55,21.625000
CSCO,2013-05-15,16:04:00,16:02:10,14.600000
CSCO,2013-08-14,16:04:00,15:54:33,47.866667
CTRP,2012-07-24,18:01:00,17:53:12,0.000000
CTSH,2013-02-07,06:00:00,05:57:43,1.975000
CTXS,2012-07-25,16:04:00,16:02:56,0.950000
CTXS,2012-10-24,16:04:00,15:56:41,0.775000
CTXS,2013-01-30,16:04:00,15:59:01,2.200000
CTXS,2013-04-24,16:04:00,16:01:02,1.675000
CTXS,2013-07-24,16:04:00,15:56:21,1.025000
DELL,2012-05-22,16:01:00,15:57:28,49.900000
DELL,2012-08-21,16:01:00,15:58:45,51.950000
DELL,2013-02-19,16:01:00,15:57:02,92.600000
DELL,2013-05-16,16:01:00,15:59:11,46.400000
DELL,2013-08-15,16:03:00,16:02:27,61.566667
DLTR,2012-05-17,08:00:00,07:55:29,0.425000
DLTR,2012-08-16,07:36:00,07:32:56,1.650000
DLTR,2013-02-27,07:34:00,07:32:41,0.875000
DLTR,2013-08-22,07:33:00,07:27:54,0.600000
ESRX,2012-08-07,16:01:00,15:59:27,0.775000
ESRX,2013-02-18,16:01:00,16:00:14,2.000000
ESRX,2013-04-29,16:01:00,15:56:41,1.525000
ESRX,2013-07-29,16:01:00,15:51:48,0.550000
EXPD,2012-08-07,09:00:00,08:55:55,0.000000
EXPD,2013-02-26,09:00:00,08:52:44,0.000000
EXPD,2013-05-01,16:15:00,16:08:12,0.000000
EXPE,2012-07-26,16:02:00,15:55:41,0.825000
EXPE,2013-02-05,16:02:00,15:59:23,3.200000
EXPE,2013-04-25,16:09:00,16:07:37,2.450000
EXPE,2013-07-25,16:01:00,15:52:24,3.025000
FAST,2013-01-17,06:49:00,06:39:42,0.125000
FAST,2013-07-10,06:49:00,06:42:16,0.075000
FFIV,2012-10-24,16:04:00,15:56:45,1.200000
FFIV,2013-01-23,16:04:00,15:59:19,2.225000
FFIV,2013-04-24,16:04:00,16:01:06,0.050000
FFIV,2013-07-24,16:04:00,15:56:26,0.100000
FISV,2013-02-05,16:05:00,15:59:24,0.100000
FISV,2013-04-30,16:01:00,15:56:36,0.300000
FISV,2013-07-30,16:01:00,15:54:15,0.100000
FLEX,2012-07-25,16:01:00,15:52:29,0.133333
FLEX,2013-01-24,16:01:00,15:58:20,2.100000
FLEX,2013-04-30,16:01:00,15:56:36,0.700000
FLEX,2013-07-25,16:01:00,15:52:25,0.050000
FLIR,2012-07-26,07:30:00,07:23:41,0.075000
FLIR,2013-02-07,07:30:00,07:21:46,0.525000
FLIR,2013-07-25,07:30:00,07:25:42,0.025000
FSLR,2013-02-26,16:02:00,15:52:53,1.900000
FSLR,2013-05-06,16:04:00,16:00:00,2.950000
GMCR,2013-02-06,16:00:00,15:50:16,0.350000
GMCR,2013-05-08,16:00:00,15:58:40,1.350000
GRMN,2013-02-20,07:00:00,06:57:48,4.950000
ILMN,2012-07-24,16:04:00,15:56:03,0.300000
ILMN,2013-04-22,16:04:00,16:02:15,1.125000
ILMN,2013-07-23,16:04:00,15:56:50,0.575000
INTU,2012-05-17,16:00:00,15:57:48,0.000000
INTU,2012-08-21,16:00:00,15:58:52,3.600000
INTU,2013-02-21,16:00:00,15:53:12,0.575000
INTU,2013-08-20,16:03:00,15:56:29,0.850000
ISRG,2013-07-18,16:04:00,15:56:39,0.425000
KLAC,2012-07-26,16:15:00,16:06:26,0.000000
KLAC,2013-01-24,16:15:00,16:08:54,NULL
KLAC,2013-04-25,16:15:00,16:07:44,0.150000
KLAC,2013-07-25,16:15:00,16:13:28,0.000000
LLTC,2012-07-24,16:59:00,16:48:55,0.050000
LLTC,2013-04-16,16:59:00,16:56:16,NULL
LRCX,2012-07-25,16:30:00,16:24:09,NULL
LRCX,2012-10-17,16:15:00,16:04:30,1.375000
LRCX,2013-01-23,16:04:00,15:59:23,0.050000
LRCX,2013-04-24,16:04:00,16:01:10,0.000000
MCHP,2013-05-02,16:15:00,16:14:41,0.100000
MRVL,2012-05-17,16:04:00,16:03:15,0.075000
MRVL,2012-08-16,16:04:00,15:56:34,0.925000
MRVL,2013-02-21,16:03:00,15:53:14,2.400000
MRVL,2013-08-22,16:03:00,15:55:11,0.066667
MXIM,2012-07-26,16:00:00,15:55:48,0.100000
MXIM,2013-01-24,16:00:00,15:58:24,0.000000
MXIM,2013-04-25,16:00:00,15:57:16,0.000000
MXIM,2013-07-25,16:00:00,15:52:31,0.025000
NFLX,2012-07-24,16:04:00,15:56:09,58.225000
NFLX,2013-01-23,16:04:00,15:59:27,96.575000
NFLX,2013-04-22,16:06:00,16:02:20,90.025000
NFLX,2013-07-22,16:00:00,15:59:54,93.475000
NFLX,2013-07-22,16:00:00,15:59:55,83.675000
NIHD,2013-05-02,06:29:00,06:27:45,0.100000
NTAP,2012-05-23,16:01:00,15:54:18,4.000000
NTAP,2012-08-15,16:01:00,15:59:09,1.050000
NTAP,2013-02-13,16:01:00,15:53:34,1.150000
NTAP,2013-08-14,16:01:00,15:54:47,1.300000
NVDA,2012-05-11,07:30:00,07:27:00,12.075000
NVDA,2012-08-09,16:20:00,16:13:58,7.075000
NVDA,2013-02-13,16:20:00,16:14:34,13.500000
NVDA,2013-05-09,16:20:00,16:19:50,5.625000
ORCL,2012-06-18,16:59:00,16:50:47,17.350000
ORCL,2012-12-18,16:01:00,15:59:47,28.675000
ORCL,2013-03-20,16:01:00,15:56:49,23.850000
ORCL,2013-09-18,16:01:00,15:53:13,22.250000
ORLY,2012-10-24,18:29:00,18:24:54,NULL
PAYX,2012-09-24,16:01:00,15:51:52,0.575000
PAYX,2012-12-19,16:01:00,15:55:42,0.100000
PCAR,2012-07-24,07:59:00,07:57:04,0.625000
PCAR,2013-01-31,07:59:00,07:55:57,0.500000
PCAR,2013-07-23,07:59:00,07:51:58,0.225000
PCLN,2012-08-07,16:02:00,15:59:37,3.000000
PCLN,2013-02-26,16:16:00,16:13:59,NULL
PCLN,2013-05-09,16:09:00,15:58:52,1.500000
QCOM,2013-01-30,16:00:00,15:59:15,25.066667
QCOM,2013-04-24,16:00:00,15:50:50,10.650000
QCOM,2013-07-24,16:00:00,15:56:38,2.500000
QGEN,2012-07-25,10:39:00,10:35:02,0.000000
QGEN,2013-01-29,16:00:00,15:51:21,0.000000
QGEN,2013-04-29,07:59:00,07:54:19,0.000000
QGEN,2013-07-30,17:04:00,16:57:10,0.000000
ROST,2012-05-17,08:26:00,08:22:52,0.250000
ROST,2012-08-16,08:26:00,08:15:54,0.400000
ROST,2013-03-21,08:26:00,08:18:54,0.300000
ROST,2013-08-22,16:00:00,15:55:17,0.300000
SBUX,2012-07-26,16:03:00,15:55:57,70.775000
SBUX,2013-01-24,16:04:00,15:58:31,78.200000
SBUX,2013-04-25,16:04:00,15:57:24,82.166667
SBUX,2013-07-25,16:04:00,16:03:09,103.800000
SIAL,2012-07-24,07:59:00,07:57:07,0.000000
SIAL,2013-02-07,07:00:00,06:50:29,0.200000
SIAL,2013-07-23,07:00:00,06:59:12,0.050000
SNDK,2013-01-23,16:04:00,15:59:31,1.600000
SNDK,2013-04-17,16:04:00,16:02:19,1.550000
SNDK,2013-07-17,16:04:00,16:01:38,1.225000
SRCL,2012-07-25,16:02:00,15:52:41,0.600000
SRCL,2012-10-24,16:02:00,15:56:59,0.125000
SRCL,2013-02-06,16:02:00,16:00:53,0.000000
SRCL,2013-04-24,16:02:00,16:01:19,0.075000
SRCL,2013-07-24,16:02:00,15:56:42,0.000000
SYMC,2012-07-25,07:00:00,06:52:31,3.625000
SYMC,2012-10-24,16:05:00,15:56:59,2.850000
SYMC,2013-01-23,07:59:00,07:55:58,5.025000
SYMC,2013-05-07,16:04:00,16:02:32,2.850000
SYMC,2013-07-30,16:01:00,15:54:31,1.150000
URBN,2012-05-21,16:00:00,15:50:18,3.975000
URBN,2012-08-20,16:00:00,15:55:24,20.125000
URBN,2012-11-19,16:00:00,15:57:02,3.225000
URBN,2013-03-11,16:46:00,16:42:15,6.266667
