ticker,earnrelease_date,earnrelease_time,timestart,avg(t.twitterpermin)
ADBE,2012-06-19,16:04:00,16:02:03,10.160000
ADBE,2012-09-19,16:03:00,15:56:19,14.657143
ADBE,2012-12-13,16:03:00,16:02:24,14.844444
ADBE,2013-03-19,16:02:00,16:00:43,59.200000
ADBE,2013-09-17,16:04:00,16:02:25,28.572727
AKAM,2012-07-25,16:01:00,15:52:14,1.300000
AKAM,2012-10-24,16:01:00,15:56:34,1.108333
AKAM,2013-02-06,16:01:00,15:50:05,0.625000
AKAM,2013-04-24,16:01:00,16:00:57,2.800000
AKAM,2013-07-24,16:01:00,15:56:14,0.922222
ALTR,2012-07-24,16:15:00,16:06:24,3.381818
ALTR,2013-01-23,16:15:00,16:09:38,4.740000
ALTR,2013-04-25,16:15:00,16:07:30,5.450000
ALTR,2013-07-23,16:15:00,16:07:09,2.833333
ALXN,2012-07-25,06:29:00,06:20:36,0.125000
ALXN,2013-04-25,06:29:00,06:20:09,0.100000
ALXN,2013-07-25,06:29:00,06:22:11,0.108333
AMAT,2012-05-17,16:04:00,16:03:03,0.350000
AMAT,2012-08-15,16:04:00,15:58:48,1.675000
AMAT,2013-02-13,16:00:00,15:53:16,0.383333
AMAT,2013-05-16,15:58:00,15:48:36,0.150000
AMAT,2013-08-15,16:03:00,16:02:19,3.066667
AMGN,2012-07-26,16:03:00,15:55:33,1.837500
AMGN,2013-01-23,16:01:00,15:59:11,1.600000
AMGN,2013-04-23,16:00:00,15:52:02,0.933333
AMGN,2013-07-30,16:02:00,15:54:04,0.936364
AMZN,2012-07-26,16:00:00,15:55:32,125.662500
AMZN,2013-01-29,16:00:00,15:51:00,208.800000
AMZN,2013-04-25,16:00:00,15:57:00,172.066667
AMZN,2013-07-25,16:01:00,15:52:15,145.260000
APOL,2013-01-08,16:01:00,15:56:30,1.862500
BBBY,2012-06-20,16:15:00,16:04:36,0.000000
BBBY,2012-09-19,16:15:00,16:06:53,0.000000
BBBY,2012-12-19,16:15:00,16:05:58,0.016667
BBBY,2013-04-10,16:15:00,16:12:10,0.014286
BIDU,2012-07-23,16:00:00,15:58:16,5.266667
BIDU,2012-10-29,16:30:00,16:25:33,2.240000
BIDU,2013-04-25,16:30:00,16:28:32,NULL
BIDU,2013-07-24,16:01:00,15:56:17,1.455556
BRCM,2012-07-24,16:04:00,15:55:53,2.033333
BRCM,2013-01-29,16:04:00,16:01:33,NULL
BRCM,2013-04-23,16:04:00,16:02:34,4.200000
BRCM,2013-07-23,16:04:00,15:56:40,1.425000
CELG,2012-07-26,07:30:00,07:23:31,0.141667
CELG,2013-01-24,07:30:00,07:20:53,0.266667
CELG,2013-04-25,07:28:00,07:22:59,0.350000
CELG,2013-07-25,07:33:00,07:25:34,1.208333
CERN,2012-07-26,16:01:00,15:55:36,0.462500
CERN,2013-02-05,16:01:00,15:59:19,0.650000
CERN,2013-04-25,16:01:00,15:57:05,0.766667
CERN,2013-07-25,16:01:00,15:52:19,0.980000
CHRW,2012-07-24,16:15:00,16:06:28,0.018182
CHRW,2013-02-05,16:21:00,16:20:17,NULL
CHRW,2013-05-07,16:15:00,16:12:42,0.009091
COST,2012-12-19,09:41:00,09:33:19,14.541667
COST,2013-03-13,14:39:00,14:32:56,7.050000
CSCO,2012-08-15,16:04:00,15:58:53,18.075000
CSCO,2013-02-13,16:04:00,16:03:55,19.640000
CSCO,2013-05-15,16:04:00,16:02:10,14.600000
CSCO,2013-08-14,16:04:00,15:54:33,47.866667
CTRP,2012-07-24,18:01:00,17:53:12,0.000000
CTSH,2013-02-07,06:00:00,05:57:43,1.350000
CTXS,2012-07-25,16:04:00,16:02:56,0.950000
CTXS,2012-10-24,16:04:00,15:56:41,0.633333
CTXS,2013-01-30,16:04:00,15:59:01,2.200000
CTXS,2013-04-24,16:04:00,16:01:02,2.440000
CTXS,2013-07-24,16:04:00,15:56:21,0.688889
DELL,2012-05-22,16:01:00,15:57:28,49.900000
