ticker,earnrelease_date,earnrelease_time,timestart,avg(t.twitterpermin)
ADBE,2012-06-19,16:04:00,16:02:03,10.590323
ADBE,2012-09-19,16:03:00,15:56:19,14.657143
ADBE,2012-12-13,16:03:00,16:02:24,10.352542
ADBE,2013-03-19,16:02:00,16:00:43,23.523636
ADBE,2013-09-17,16:04:00,16:02:25,23.736364
AKAM,2012-07-25,16:01:00,15:52:14,0.484906
AKAM,2012-10-24,16:01:00,15:56:34,1.108333
AKAM,2013-02-06,16:01:00,15:50:05,0.532258
AKAM,2013-04-24,16:01:00,16:00:57,0.983333
AKAM,2013-07-24,16:01:00,15:56:14,0.462500
ALTR,2012-07-24,16:15:00,16:06:24,2.631429
ALTR,2013-01-23,16:15:00,16:09:38,3.095161
ALTR,2013-04-25,16:15:00,16:07:30,3.604444
ALTR,2013-07-23,16:15:00,16:07:09,2.312727
ALXN,2012-07-25,06:29:00,06:20:36,0.112281
ALXN,2013-04-25,06:29:00,06:20:09,0.108929
ALXN,2013-07-25,06:29:00,06:22:11,0.098305
AMAT,2012-05-17,16:04:00,16:03:03,0.068992
AMAT,2012-08-15,16:04:00,15:58:48,0.364912
AMAT,2013-02-13,16:00:00,15:53:16,0.181481
AMAT,2013-05-16,15:58:00,15:48:36,0.102041
AMAT,2013-08-15,16:03:00,16:02:19,0.717241
AMGN,2012-07-26,16:03:00,15:55:33,0.540909
AMGN,2013-01-23,16:01:00,15:59:11,0.553968
AMGN,2013-04-23,16:00:00,15:52:02,0.431373
AMGN,2013-07-30,16:02:00,15:54:04,0.936364
AMZN,2012-07-26,16:00:00,15:55:32,131.345455
AMZN,2013-01-29,16:00:00,15:51:00,166.923214
AMZN,2013-04-25,16:00:00,15:57:00,146.213725
AMZN,2013-07-25,16:01:00,15:52:15,154.607843
APOL,2013-01-08,16:01:00,15:56:30,0.498214
BBBY,2012-06-20,16:15:00,16:04:36,0.000000
BBBY,2012-09-19,16:15:00,16:06:53,0.000000
BBBY,2012-12-19,16:15:00,16:05:58,0.009211
BBBY,2013-04-10,16:15:00,16:12:10,0.003226
BIDU,2012-07-23,16:00:00,15:58:16,2.300000
BIDU,2012-10-29,16:30:00,16:25:33,2.240000
BIDU,2013-04-25,16:30:00,16:28:32,2.477551
BIDU,2013-07-24,16:01:00,15:56:17,1.206250
BRCM,2012-07-24,16:04:00,15:55:53,2.150000
BRCM,2013-01-29,16:04:00,16:01:33,0.190909
BRCM,2013-04-23,16:04:00,16:02:34,0.503704
BRCM,2013-07-23,16:04:00,15:56:40,0.596364
CELG,2012-07-26,07:30:00,07:23:31,0.107407
CELG,2013-01-24,07:30:00,07:20:53,0.161538
CELG,2013-04-25,07:28:00,07:22:59,0.221569
CELG,2013-07-25,07:33:00,07:25:34,0.366038
CERN,2012-07-26,16:01:00,15:55:36,0.422727
CERN,2013-02-05,16:01:00,15:59:19,0.686275
CERN,2013-04-25,16:01:00,15:57:05,0.780000
CERN,2013-07-25,16:01:00,15:52:19,0.558824
CHRW,2012-07-24,16:15:00,16:06:28,0.020000
CHRW,2013-02-05,16:21:00,16:20:17,0.050000
CHRW,2013-05-07,16:15:00,16:12:42,0.006667
COST,2012-12-19,09:41:00,09:33:19,8.418421
COST,2013-03-13,14:39:00,14:32:56,5.581132
CSCO,2012-08-15,16:04:00,15:58:53,11.519298
CSCO,2013-02-13,16:04:00,16:03:55,8.432787
CSCO,2013-05-15,16:04:00,16:02:10,8.611864
CSCO,2013-08-14,16:04:00,15:54:33,14.916667
CTRP,2012-07-24,18:01:00,17:53:12,0.022951
CTSH,2013-02-07,06:00:00,05:57:43,0.715686
CTXS,2012-07-25,16:04:00,16:02:56,0.761538
CTXS,2012-10-24,16:04:00,15:56:41,0.633333
CTXS,2013-01-30,16:04:00,15:59:01,0.765517
CTXS,2013-04-24,16:04:00,16:01:02,1.181034
CTXS,2013-07-24,16:04:00,15:56:21,0.703077
DELL,2012-05-22,16:01:00,15:57:28,38.786275
DELL,2012-08-21,16:01:00,15:58:45,35.327119
DELL,2013-02-19,16:01:00,15:57:02,56.360417
DELL,2013-05-16,16:01:00,15:59:11,44.788679
DELL,2013-08-15,16:03:00,16:02:27,41.720690
DLTR,2012-05-17,08:00:00,07:55:29,0.346212
DLTR,2012-08-16,07:36:00,07:32:56,1.070690
DLTR,2013-02-27,07:34:00,07:32:41,0.565487
DLTR,2013-08-22,07:33:00,07:27:54,0.729508
ESRX,2012-08-07,16:01:00,15:59:27,0.710000
ESRX,2013-02-18,16:01:00,16:00:14,0.406897
ESRX,2013-04-29,16:01:00,15:56:41,0.239655
ESRX,2013-07-29,16:01:00,15:51:48,0.191667
EXPD,2012-08-07,09:00:00,08:55:55,0.000000
EXPD,2013-02-26,09:00:00,08:52:44,0.000000
EXPD,2013-05-01,16:15:00,16:08:12,0.000000
EXPE,2012-07-26,16:02:00,15:55:41,1.000000
EXPE,2013-02-05,16:02:00,15:59:23,2.726415
EXPE,2013-04-25,16:09:00,16:07:37,1.254167
EXPE,2013-07-25,16:01:00,15:52:24,2.458824
FAST,2013-01-17,06:49:00,06:39:42,0.115094
FAST,2013-07-10,06:49:00,06:42:16,0.081967
FFIV,2012-10-24,16:04:00,15:56:45,0.708333
FFIV,2013-01-23,16:04:00,15:59:19,0.200000
FFIV,2013-04-24,16:04:00,16:01:06,0.060000
FFIV,2013-07-24,16:04:00,15:56:26,0.106349
FISV,2013-02-05,16:05:00,15:59:24,0.107692
