ticker,earnrelease_date,earnrelease_time,timestart,avg(t.twitterpermin),timeperiod_endtime
ADBE,2012-06-19,16:04:00,16:02:03,10.139344,"2012-06-26 16:02:03"
ADBE,2012-09-19,16:03:00,15:56:19,18.422727,"2012-09-26 15:56:19"
ADBE,2012-12-13,16:03:00,16:02:24,9.150836,"2012-12-20 16:02:24"
ADBE,2013-03-19,16:02:00,16:00:43,13.931977,"2013-03-26 16:00:43"
ADBE,2013-09-17,16:04:00,16:02:25,23.360563,"2013-09-24 16:02:25"
AKAM,2012-07-25,16:01:00,15:52:14,0.276860,"2012-08-01 15:52:14"
AKAM,2012-10-24,16:01:00,15:56:34,0.269444,"2012-10-31 15:56:34"
AKAM,2013-02-06,16:01:00,15:50:05,0.266359,"2013-02-13 15:50:05"
AKAM,2013-04-24,16:01:00,16:00:57,0.350936,"2013-05-01 16:00:57"
AKAM,2013-07-24,16:01:00,15:56:14,0.296581,"2013-07-31 15:56:14"
ALTR,2012-07-24,16:15:00,16:06:24,2.398421,"2012-07-31 16:06:24"
ALTR,2013-01-23,16:15:00,16:09:38,3.233219,"2013-01-30 16:09:38"
ALTR,2013-04-25,16:15:00,16:07:30,4.805976,"2013-05-02 16:07:30"
ALTR,2013-07-23,16:15:00,16:07:09,2.948014,"2013-07-30 16:07:09"
ALXN,2012-07-25,06:29:00,06:20:36,0.057803,"2012-08-01 06:20:36"
ALXN,2013-04-25,06:29:00,06:20:09,0.037165,"2013-05-02 06:20:09"
ALXN,2013-07-25,06:29:00,06:22:11,0.110268,"2013-08-01 06:22:11"
AMAT,2012-05-17,16:04:00,16:03:03,0.047075,"2012-05-24 16:03:03"
AMAT,2012-08-15,16:04:00,15:58:48,0.087333,"2012-08-22 15:58:48"
AMAT,2013-02-13,16:00:00,15:53:16,0.050397,"2013-02-20 15:53:16"
AMAT,2013-05-16,15:58:00,15:48:36,0.047706,"2013-05-23 15:48:36"
AMAT,2013-08-15,16:03:00,16:02:19,0.167559,"2013-08-22 16:02:19"
AMGN,2012-07-26,16:03:00,15:55:33,0.367647,"2012-08-02 15:55:33"
AMGN,2013-01-23,16:01:00,15:59:11,0.449488,"2013-01-30 15:59:11"
AMGN,2013-04-23,16:00:00,15:52:02,0.256989,"2013-04-30 15:52:02"
AMGN,2013-07-30,16:02:00,15:54:04,0.936364,"2013-08-06 15:54:04"
AMZN,2012-07-26,16:00:00,15:55:32,122.529412,"2012-08-02 15:55:32"
AMZN,2013-01-29,16:00:00,15:51:00,154.781882,"2013-02-05 15:51:00"
AMZN,2013-04-25,16:00:00,15:57:00,144.740636,"2013-05-02 15:57:00"
AMZN,2013-07-25,16:01:00,15:52:15,161.437126,"2013-08-01 15:52:15"
APOL,2013-01-08,16:01:00,15:56:30,0.129592,"2013-01-15 15:56:30"
BBBY,2012-06-20,16:15:00,16:04:36,0.000000,"2012-06-27 16:04:36"
BBBY,2012-09-19,16:15:00,16:06:53,0.000000,"2012-09-26 16:06:53"
BBBY,2012-12-19,16:15:00,16:05:58,0.007463,"2012-12-26 16:05:58"
BBBY,2013-04-10,16:15:00,16:12:10,0.001075,"2013-04-17 16:12:10"
BIDU,2012-07-23,16:00:00,15:58:16,1.298770,"2012-07-30 15:58:16"
BIDU,2012-10-29,16:30:00,16:25:33,2.240000,"2012-11-05 16:25:33"
BIDU,2013-04-25,16:30:00,16:28:32,0.909091,"2013-05-02 16:28:32"
BIDU,2013-07-24,16:01:00,15:56:17,1.387826,"2013-07-31 15:56:17"
