ticker,earnrelease_date,earnrelease_time,timestart,avg(t.volumeend)
ADBE,2012-06-19,16:04:00,16:02:03,6670987.0000
ADBE,2012-09-19,16:03:00,15:56:19,7731688.5000
ADBE,2012-12-13,16:03:00,16:02:24,7502245.2500
ADBE,2013-03-19,16:02:00,16:00:43,4677948.6667
ADBE,2013-09-17,16:04:00,16:02:25,6726626.7500
AKAM,2012-07-25,16:01:00,15:52:14,5007289.6667
AKAM,2012-10-24,16:01:00,15:56:34,5263387.5000
AKAM,2013-02-06,16:01:00,15:50:05,5599576.5000
AKAM,2013-04-24,16:01:00,16:00:57,6903498.5000
AKAM,2013-07-24,16:01:00,15:56:14,3542311.2500
ALTR,2012-07-24,16:15:00,16:06:24,3623007.0000
ALTR,2013-01-23,16:15:00,16:09:38,4607324.0000
ALTR,2013-04-25,16:15:00,16:07:30,6137516.0000
ALTR,2013-07-23,16:15:00,16:07:09,3365958.6667
ALXN,2012-07-25,06:29:00,06:20:36,150.0000
ALXN,2013-04-25,06:29:00,06:20:09,10638.2500
ALXN,2013-07-25,06:29:00,06:22:11,0.0000
AMAT,2012-05-17,16:04:00,16:03:03,14500000.0000
AMAT,2012-08-15,16:04:00,15:58:48,9232212.7500
AMAT,2013-02-13,16:00:00,15:53:16,11575000.0000
AMAT,2013-05-16,15:58:00,15:48:36,22100000.0000
AMAT,2013-08-15,16:03:00,16:02:19,11133333.3333
AMGN,2012-07-26,16:03:00,15:55:33,5834471.7500
AMGN,2013-01-23,16:01:00,15:59:11,7665205.0000
AMGN,2013-04-23,16:00:00,15:52:02,4778706.3333
AMGN,2013-07-30,16:02:00,15:54:04,3980930.7500
AMZN,2012-07-26,16:00:00,15:55:32,6699665.2500
AMZN,2013-01-29,16:00:00,15:51:00,9588260.0000
AMZN,2013-04-25,16:00:00,15:57:00,5570486.6667
AMZN,2013-07-25,16:01:00,15:52:15,5247117.7500
APOL,2013-01-08,16:01:00,15:56:30,5418277.5000
BBBY,2012-06-20,16:15:00,16:04:36,4895036.0000
BBBY,2012-09-19,16:15:00,16:06:53,4581319.0000
BBBY,2012-12-19,16:15:00,16:05:58,4608195.2500
BBBY,2013-04-10,16:15:00,16:12:10,3854481.0000
BIDU,2012-07-23,16:00:00,15:58:16,7437379.2500
BIDU,2012-10-29,16:30:00,16:25:33,3457115.0000
BIDU,2013-04-25,16:30:00,16:28:32,NULL
BIDU,2013-07-24,16:01:00,15:56:17,7322641.2500
BRCM,2012-07-24,16:04:00,15:55:53,7341420.5000
BRCM,2013-01-29,16:04:00,16:01:33,NULL
BRCM,2013-04-23,16:04:00,16:02:34,8547005.0000
BRCM,2013-07-23,16:04:00,15:56:40,30100000.0000
CELG,2012-07-26,07:30:00,07:23:31,6785.0000
CELG,2013-01-24,07:30:00,07:20:53,2286.5000
CELG,2013-04-25,07:28:00,07:22:59,25801.0000
CELG,2013-07-25,07:33:00,07:25:34,15150.0000
CERN,2012-07-26,16:01:00,15:55:36,2598298.0000
CERN,2013-02-05,16:01:00,15:59:19,1196258.0000
CERN,2013-04-25,16:01:00,15:57:05,1492430.3333
CERN,2013-07-25,16:01:00,15:52:19,2063903.7500
CHRW,2012-07-24,16:15:00,16:06:28,1412350.0000
CHRW,2013-02-05,16:21:00,16:20:17,NULL
CHRW,2013-05-07,16:15:00,16:12:42,2057579.0000
COST,2012-12-19,09:41:00,09:33:19,862742.7500
COST,2013-03-13,14:39:00,14:32:56,2327811.2500
CSCO,2012-08-15,16:04:00,15:58:53,61750000.0000
CSCO,2013-02-13,16:04:00,16:03:55,62375000.0000
CSCO,2013-05-15,16:04:00,16:02:10,53800000.0000
CSCO,2013-08-14,16:04:00,15:54:33,71966666.6667
CTRP,2012-07-24,18:01:00,17:53:12,5187526.0000
CTSH,2013-02-07,06:00:00,05:57:43,7002.0000
CTXS,2012-07-25,16:04:00,16:02:56,4281599.5000
CTXS,2012-10-24,16:04:00,15:56:41,5067267.2500
CTXS,2013-01-30,16:04:00,15:59:01,4735491.6667
CTXS,2013-04-24,16:04:00,16:01:02,3289464.2500
CTXS,2013-07-24,16:04:00,15:56:21,3553371.5000
DELL,2012-05-22,16:01:00,15:57:28,26900000.0000
DELL,2012-08-21,16:01:00,15:58:45,28700000.0000
DELL,2013-02-19,16:01:00,15:57:02,24200000.0000
DELL,2013-05-16,16:01:00,15:59:11,13500000.0000
DELL,2013-08-15,16:03:00,16:02:27,13800000.0000
DLTR,2012-05-17,08:00:00,07:55:29,12388.0000
DLTR,2012-08-16,07:36:00,07:32:56,85864.5000
DLTR,2013-02-27,07:34:00,07:32:41,125814.2500
DLTR,2013-08-22,07:33:00,07:27:54,143679.7500
ESRX,2012-08-07,16:01:00,15:59:27,6659718.7500
ESRX,2013-02-18,16:01:00,16:00:14,9793567.0000
ESRX,2013-04-29,16:01:00,15:56:41,7685896.7500
ESRX,2013-07-29,16:01:00,15:51:48,5405036.5000
EXPD,2012-08-07,09:00:00,08:55:55,504744.0000
EXPD,2013-02-26,09:00:00,08:52:44,1892785.7500
EXPD,2013-05-01,16:15:00,16:08:12,1716562.0000
EXPE,2012-07-26,16:02:00,15:55:41,6435610.0000
EXPE,2013-02-05,16:02:00,15:59:23,5091274.0000
EXPE,2013-04-25,16:09:00,16:07:37,4678012.0000
EXPE,2013-07-25,16:01:00,15:52:24,9453337.5000
FAST,2013-01-17,06:49:00,06:39:42,390.0000
FAST,2013-07-10,06:49:00,06:42:16,1081.0000
FFIV,2012-10-24,16:04:00,15:56:45,4218954.7500
