ticker,earnrelease_date,earnrelease_time,timestart,avg(t.volumeend)
ADBE,2012-06-19,16:04:00,16:02:03,6676572.6000
ADBE,2012-09-19,16:03:00,15:56:19,7748845.2857
ADBE,2012-12-13,16:03:00,16:02:24,7603660.4444
ADBE,2013-03-19,16:02:00,16:00:43,4677948.6667
ADBE,2013-09-17,16:04:00,16:02:25,6799524.8182
AKAM,2012-07-25,16:01:00,15:52:14,5007289.6667
AKAM,2012-10-24,16:01:00,15:56:34,5285015.1667
AKAM,2013-02-06,16:01:00,15:50:05,5599576.5000
AKAM,2013-04-24,16:01:00,16:00:57,6921933.8000
AKAM,2013-07-24,16:01:00,15:56:14,3557823.0000
ALTR,2012-07-24,16:15:00,16:06:24,3624813.8182
ALTR,2013-01-23,16:15:00,16:09:38,4609040.6000
ALTR,2013-04-25,16:15:00,16:07:30,6137516.0000
ALTR,2013-07-23,16:15:00,16:07:09,3365958.6667
ALXN,2012-07-25,06:29:00,06:20:36,36116.9167
ALXN,2013-04-25,06:29:00,06:20:09,64146.4167
ALXN,2013-07-25,06:29:00,06:22:11,46252.0000
AMAT,2012-05-17,16:04:00,16:03:03,14500000.0000
AMAT,2012-08-15,16:04:00,15:58:48,9238195.8750
AMAT,2013-02-13,16:00:00,15:53:16,11583333.3333
AMAT,2013-05-16,15:58:00,15:48:36,22100000.0000
AMAT,2013-08-15,16:03:00,16:02:19,11133333.3333
AMGN,2012-07-26,16:03:00,15:55:33,5842425.8750
AMGN,2013-01-23,16:01:00,15:59:11,7666568.0000
AMGN,2013-04-23,16:00:00,15:52:02,4778706.3333
AMGN,2013-07-30,16:02:00,15:54:04,3982771.0909
AMZN,2012-07-26,16:00:00,15:55:32,6789991.8750
AMZN,2013-01-29,16:00:00,15:51:00,9588260.0000
AMZN,2013-04-25,16:00:00,15:57:00,5570486.6667
AMZN,2013-07-25,16:01:00,15:52:15,5274938.2000
APOL,2013-01-08,16:01:00,15:56:30,5463515.8750
BBBY,2012-06-20,16:15:00,16:04:36,4895036.0000
BBBY,2012-09-19,16:15:00,16:06:53,4609752.8333
BBBY,2012-12-19,16:15:00,16:05:58,4620763.5000
BBBY,2013-04-10,16:15:00,16:12:10,3874442.8571
BIDU,2012-07-23,16:00:00,15:58:16,7460284.0000
BIDU,2012-10-29,16:30:00,16:25:33,3457115.0000
BIDU,2013-04-25,16:30:00,16:28:32,NULL
BIDU,2013-07-24,16:01:00,15:56:17,7414854.5556
BRCM,2012-07-24,16:04:00,15:55:53,7367951.5000
BRCM,2013-01-29,16:04:00,16:01:33,NULL
BRCM,2013-04-23,16:04:00,16:02:34,8547005.0000
BRCM,2013-07-23,16:04:00,15:56:40,30100000.0000
CELG,2012-07-26,07:30:00,07:23:31,997371.1667
CELG,2013-01-24,07:30:00,07:20:53,450395.3333
CELG,2013-04-25,07:28:00,07:22:59,1029318.2500
CELG,2013-07-25,07:33:00,07:25:34,548018.0000
CERN,2012-07-26,16:01:00,15:55:36,2636124.8750
CERN,2013-02-05,16:01:00,15:59:19,1196258.0000
CERN,2013-04-25,16:01:00,15:57:05,1492430.3333
CERN,2013-07-25,16:01:00,15:52:19,2064016.0000
CHRW,2012-07-24,16:15:00,16:06:28,1414182.0909
CHRW,2013-02-05,16:21:00,16:20:17,NULL
CHRW,2013-05-07,16:15:00,16:12:42,2059047.1818
COST,2012-12-19,09:41:00,09:33:19,1136285.9167
COST,2013-03-13,14:39:00,14:32:56,2414456.5000
CSCO,2012-08-15,16:04:00,15:58:53,62262500.0000
CSCO,2013-02-13,16:04:00,16:03:55,62480000.0000
CSCO,2013-05-15,16:04:00,16:02:10,53800000.0000
CSCO,2013-08-14,16:04:00,15:54:33,71966666.6667
CTRP,2012-07-24,18:01:00,17:53:12,5187526.0000
CTSH,2013-02-07,06:00:00,05:57:43,157615.0833
CTXS,2012-07-25,16:04:00,16:02:56,4281599.5000
CTXS,2012-10-24,16:04:00,15:56:41,5074284.9167
CTXS,2013-01-30,16:04:00,15:59:01,4735491.6667
