ticker,earnrelease_date,earnrelease_time,timestart,avg(t.volumeend)
ADBE,2012-06-19,16:04:00,16:02:03,9736873.3226
ADBE,2012-09-19,16:03:00,15:56:19,7748845.2857
ADBE,2012-12-13,16:03:00,16:02:24,9878116.5763
ADBE,2013-03-19,16:02:00,16:00:43,5593398.4000
ADBE,2013-09-17,16:04:00,16:02:25,8118114.6364
AKAM,2012-07-25,16:01:00,15:52:14,7340305.7925
AKAM,2012-10-24,16:01:00,15:56:34,5285015.1667
AKAM,2013-02-06,16:01:00,15:50:05,14255716.5161
AKAM,2013-04-24,16:01:00,16:00:57,8346316.5833
AKAM,2013-07-24,16:01:00,15:56:14,2614489.1563
ALTR,2012-07-24,16:15:00,16:06:24,6825161.0000
ALTR,2013-01-23,16:15:00,16:09:38,6131890.0484
ALTR,2013-04-25,16:15:00,16:07:30,5130141.4889
ALTR,2013-07-23,16:15:00,16:07:09,2635252.0000
ALXN,2012-07-25,06:29:00,06:20:36,1620748.9123
ALXN,2013-04-25,06:29:00,06:20:09,2354561.5536
ALXN,2013-07-25,06:29:00,06:22:11,1336626.7966
AMAT,2012-05-17,16:04:00,16:03:03,4587761.0000
AMAT,2012-08-15,16:04:00,15:58:48,14313859.3684
AMAT,2013-02-13,16:00:00,15:53:16,11471914.1481
AMAT,2013-05-16,15:58:00,15:48:36,13580956.4082
AMAT,2013-08-15,16:03:00,16:02:19,16053756.3966
AMGN,2012-07-26,16:03:00,15:55:33,8429317.0909
AMGN,2013-01-23,16:01:00,15:59:11,3458900.9524
AMGN,2013-04-23,16:00:00,15:52:02,4018380.1765
AMGN,2013-07-30,16:02:00,15:54:04,3982771.0909
AMZN,2012-07-26,16:00:00,15:55:32,8239013.5682
AMZN,2013-01-29,16:00:00,15:51:00,7766374.0714
AMZN,2013-04-25,16:00:00,15:57:00,8183071.0000
AMZN,2013-07-25,16:01:00,15:52:15,5387035.3333
APOL,2013-01-08,16:01:00,15:56:30,7039862.4643
BBBY,2012-06-20,16:15:00,16:04:36,9049475.5932
BBBY,2012-09-19,16:15:00,16:06:53,4609752.8333
BBBY,2012-12-19,16:15:00,16:05:58,7722778.8553
BBBY,2013-04-10,16:15:00,16:12:10,4655046.7581
BIDU,2012-07-23,16:00:00,15:58:16,9885562.8704
BIDU,2012-10-29,16:30:00,16:25:33,3457115.0000
BIDU,2013-04-25,16:30:00,16:28:32,9910118.4694
BIDU,2013-07-24,16:01:00,15:56:17,11807413.6719
BRCM,2012-07-24,16:04:00,15:55:53,8743140.1176
BRCM,2013-01-29,16:04:00,16:01:33,6030811.8000
BRCM,2013-04-23,16:04:00,16:02:34,8682855.8889
BRCM,2013-07-23,16:04:00,15:56:40,40810239.8182
CELG,2012-07-26,07:30:00,07:23:31,3376990.8148
CELG,2013-01-24,07:30:00,07:20:53,1835050.6923
CELG,2013-04-25,07:28:00,07:22:59,3323359.9804
CELG,2013-07-25,07:33:00,07:25:34,1858304.8302
CERN,2012-07-26,16:01:00,15:55:36,3646039.0000
CERN,2013-02-05,16:01:00,15:59:19,1032854.8235
CERN,2013-04-25,16:01:00,15:57:05,1407800.1556
CERN,2013-07-25,16:01:00,15:52:19,1772705.3137
CHRW,2012-07-24,16:15:00,16:06:28,3047051.9286
CHRW,2013-02-05,16:21:00,16:20:17,3592751.0926
CHRW,2013-05-07,16:15:00,16:12:42,2406453.7500
COST,2012-12-19,09:41:00,09:33:19,1694811.9868
COST,2013-03-13,14:39:00,14:32:56,1362845.9811
CSCO,2012-08-15,16:04:00,15:58:53,82955271.7719
CSCO,2013-02-13,16:04:00,16:03:55,37931156.5082
CSCO,2013-05-15,16:04:00,16:02:10,109093742.7288
CSCO,2013-08-14,16:04:00,15:54:33,68720056.2667
CTRP,2012-07-24,18:01:00,17:53:12,3535206.6393
CTSH,2013-02-07,06:00:00,05:57:43,2870885.6667
CTXS,2012-07-25,16:04:00,16:02:56,3631984.4231
CTXS,2012-10-24,16:04:00,15:56:41,5074284.9167
CTXS,2013-01-30,16:04:00,15:59:01,3280164.8103
CTXS,2013-04-24,16:04:00,16:01:02,4839743.6724
CTXS,2013-07-24,16:04:00,15:56:21,3333251.5231
DELL,2012-05-22,16:01:00,15:57:28,56192647.6863
