ticker,earnrelease_date,earnrelease_time,timestart,avg(t.volumeend),timeperiod_endtime
ADBE,2012-06-19,16:04:00,16:02:03,5258264.5574,"2012-06-26 16:02:03"
ADBE,2012-09-19,16:03:00,15:56:19,4281477.8333,"2012-09-26 15:56:19"
ADBE,2012-12-13,16:03:00,16:02:24,5531716.0569,"2012-12-20 16:02:24"
ADBE,2013-03-19,16:02:00,16:00:43,4365686.7907,"2013-03-26 16:00:43"
ADBE,2013-09-17,16:04:00,16:02:25,8623881.2113,"2013-09-24 16:02:25"
AKAM,2012-07-25,16:01:00,15:52:14,6655035.0909,"2012-08-01 15:52:14"
AKAM,2012-10-24,16:01:00,15:56:34,3341574.1944,"2012-10-31 15:56:34"
AKAM,2013-02-06,16:01:00,15:50:05,7192997.0507,"2013-02-13 15:50:05"
AKAM,2013-04-24,16:01:00,16:00:57,3764168.5955,"2013-05-01 16:00:57"
AKAM,2013-07-24,16:01:00,15:56:14,2075025.4573,"2013-07-31 15:56:14"
ALTR,2012-07-24,16:15:00,16:06:24,4615795.9632,"2012-07-31 16:06:24"
ALTR,2013-01-23,16:15:00,16:09:38,2764914.4521,"2013-01-30 16:09:38"
ALTR,2013-04-25,16:15:00,16:07:30,2866926.0279,"2013-05-02 16:07:30"
ALTR,2013-07-23,16:15:00,16:07:09,1617886.3971,"2013-07-30 16:07:09"
ALXN,2012-07-25,06:29:00,06:20:36,1617161.0809,"2012-08-01 06:20:36"
ALXN,2013-04-25,06:29:00,06:20:09,1210552.5709,"2013-05-02 06:20:09"
ALXN,2013-07-25,06:29:00,06:22:11,1606656.9955,"2013-08-01 06:22:11"
AMAT,2012-05-17,16:04:00,16:03:03,7211049.7019,"2012-05-24 16:03:03"
AMAT,2012-08-15,16:04:00,15:58:48,8033913.6067,"2012-08-22 15:58:48"
AMAT,2013-02-13,16:00:00,15:53:16,8671568.3016,"2013-02-20 15:53:16"
AMAT,2013-05-16,15:58:00,15:48:36,9626468.8073,"2013-05-23 15:48:36"
AMAT,2013-08-15,16:03:00,16:02:19,7702468.4849,"2013-08-22 16:02:19"
AMGN,2012-07-26,16:03:00,15:55:33,9830734.5882,"2012-08-02 15:55:33"
AMGN,2013-01-23,16:01:00,15:59:11,4838514.8874,"2013-01-30 15:59:11"
AMGN,2013-04-23,16:00:00,15:52:02,2899236.4803,"2013-04-30 15:52:02"
AMGN,2013-07-30,16:02:00,15:54:04,3982771.0909,"2013-08-06 15:54:04"
AMZN,2012-07-26,16:00:00,15:55:32,9319361.7206,"2012-08-02 15:55:32"
AMZN,2013-01-29,16:00:00,15:51:00,3743295.3728,"2013-02-05 15:51:00"
AMZN,2013-04-25,16:00:00,15:57:00,4310839.4311,"2013-05-02 15:57:00"
AMZN,2013-07-25,16:01:00,15:52:15,3629098.2934,"2013-08-01 15:52:15"
APOL,2013-01-08,16:01:00,15:56:30,3080328.7585,"2013-01-15 15:56:30"
BBBY,2012-06-20,16:15:00,16:04:36,6065078.4833,"2012-06-27 16:04:36"
BBBY,2012-09-19,16:15:00,16:06:53,3214729.4848,"2012-09-26 16:06:53"
BBBY,2012-12-19,16:15:00,16:05:58,6023361.4328,"2012-12-26 16:05:58"
BBBY,2013-04-10,16:15:00,16:12:10,2403190.0538,"2013-04-17 16:12:10"
BIDU,2012-07-23,16:00:00,15:58:16,5632382.7090,"2012-07-30 15:58:16"
BIDU,2012-10-29,16:30:00,16:25:33,3457115.0000,"2012-11-05 16:25:33"
BIDU,2013-04-25,16:30:00,16:28:32,4147620.2073,"2013-05-02 16:28:32"
BIDU,2013-07-24,16:01:00,15:56:17,6731371.2826,"2013-07-31 15:56:17"
BRCM,2012-07-24,16:04:00,15:55:53,6887175.5714,"2012-07-31 15:55:53"
BRCM,2013-01-29,16:04:00,16:01:33,5347307.0035,"2013-02-05 16:01:33"
BRCM,2013-04-23,16:04:00,16:02:34,6276319.0235,"2013-04-30 16:02:34"
BRCM,2013-07-23,16:04:00,15:56:40,17503596.2582,"2013-07-30 15:56:40"
CELG,2012-07-26,07:30:00,07:23:31,3515667.6018,"2012-08-02 07:23:31"
CELG,2013-01-24,07:30:00,07:20:53,1730096.1632,"2013-01-31 07:20:53"
CELG,2013-04-25,07:28:00,07:22:59,2264283.7418,"2013-05-02 07:22:59"
CELG,2013-07-25,07:33:00,07:25:34,1885500.9256,"2013-08-01 07:25:34"
CERN,2012-07-26,16:01:00,15:55:36,4167863.5882,"2012-08-02 15:55:36"
CERN,2013-02-05,16:01:00,15:59:19,704851.9686,"2013-02-12 15:59:19"
CERN,2013-04-25,16:01:00,15:57:05,691053.4887,"2013-05-02 15:57:05"
CERN,2013-07-25,16:01:00,15:52:19,1572806.1737,"2013-08-01 15:52:19"
CHRW,2012-07-24,16:15:00,16:06:28,1939001.2698,"2012-07-31 16:06:28"
CHRW,2013-02-05,16:21:00,16:20:17,2192575.4201,"2013-02-12 16:20:17"
CHRW,2013-05-07,16:15:00,16:12:42,1855856.5096,"2013-05-14 16:12:42"
COST,2012-12-19,09:41:00,09:33:19,1945452.6647,"2012-12-26 09:33:19"
COST,2013-03-13,14:39:00,14:32:56,1226882.6927,"2013-03-20 14:32:56"
CSCO,2012-08-15,16:04:00,15:58:53,40275468.1267,"2012-08-22 15:58:53"
CSCO,2013-02-13,16:04:00,16:03:55,31586304.8852,"2013-02-20 16:03:55"
CSCO,2013-05-15,16:04:00,16:02:10,61839427.9318,"2013-05-22 16:02:10"
CSCO,2013-08-14,16:04:00,15:54:33,29909008.4300,"2013-08-21 15:54:33"
CTRP,2012-07-24,18:01:00,17:53:12,2392916.6333,"2012-07-31 17:53:12"
