ticker,earnrelease_date,earnrelease_time,timestart,avg(t.twitterpermin),Datestartname
ADBE,2012-06-19,16:04:00,16:02:03,0.025000,"Tuesday"
ADBE,2012-09-19,16:03:00,15:56:19,6.570968,"Wednesday"
ADBE,2012-12-13,16:03:00,16:02:24,4.894118,"Thursday"
ADBE,2013-03-19,16:02:00,16:00:43,8.248936,"Tuesday"
ADBE,2013-09-17,16:04:00,16:02:25,10.491304,"Tuesday"
AKAM,2012-07-25,16:01:00,15:52:14,0.057143,"Wednesday"
AKAM,2012-10-24,16:01:00,15:56:34,0.274359,"Wednesday"
AKAM,2013-02-06,16:01:00,15:50:05,0.301818,"Wednesday"
AKAM,2013-04-24,16:01:00,16:00:57,0.329070,"Wednesday"
AKAM,2013-07-24,16:01:00,15:56:14,0.343636,"Wednesday"
ALTR,2012-07-24,16:15:00,16:06:24,3.146154,"Tuesday"
ALTR,2013-01-23,16:15:00,16:09:38,3.051111,"Wednesday"
ALTR,2013-04-25,16:15:00,16:07:30,3.468852,"Thursday"
ALTR,2013-07-23,16:15:00,16:07:09,4.123529,"Tuesday"
ALXN,2012-07-25,06:29:00,06:20:36,0.085714,"Wednesday"
ALXN,2013-04-25,06:29:00,06:20:09,0.012000,"Thursday"
ALXN,2013-07-25,06:29:00,06:22:11,0.035294,"Thursday"
AMAT,2012-05-17,16:04:00,16:03:03,NULL,NULL
AMAT,2012-08-15,16:04:00,15:58:48,0.075000,"Wednesday"
AMAT,2013-02-13,16:00:00,15:53:16,0.145313,"Wednesday"
AMAT,2013-05-16,15:58:00,15:48:36,0.068750,"Thursday"
AMAT,2013-08-15,16:03:00,16:02:19,0.092222,"Thursday"
AMGN,2012-07-26,16:03:00,15:55:33,0.226087,"Thursday"
AMGN,2013-01-23,16:01:00,15:59:11,0.223529,"Wednesday"
AMGN,2013-04-23,16:00:00,15:52:02,0.334426,"Tuesday"
AMGN,2013-07-30,16:02:00,15:54:04,0.345238,"Tuesday"
AMZN,2012-07-26,16:00:00,15:55:32,51.191304,"Thursday"
AMZN,2013-01-29,16:00:00,15:51:00,90.436111,"Tuesday"
AMZN,2013-04-25,16:00:00,15:57:00,107.140580,"Thursday"
AMZN,2013-07-25,16:01:00,15:52:15,113.348936,"Thursday"
APOL,2013-01-08,16:01:00,15:56:30,0.003571,"Tuesday"
