ticker,earnrelease_date,earnrelease_time,timestart,avg(t.volumeend),Datestartname
ADBE,2012-06-19,16:04:00,16:02:03,2627679.5000,"Tuesday"
ADBE,2012-09-19,16:03:00,15:56:19,4788723.9355,"Wednesday"
ADBE,2012-12-13,16:03:00,16:02:24,4555112.2941,"Thursday"
ADBE,2013-03-19,16:02:00,16:00:43,3601338.4681,"Tuesday"
ADBE,2013-09-17,16:04:00,16:02:25,3272000.9348,"Tuesday"
AKAM,2012-07-25,16:01:00,15:52:14,2895244.0000,"Wednesday"
AKAM,2012-10-24,16:01:00,15:56:34,2932828.6923,"Wednesday"
AKAM,2013-02-06,16:01:00,15:50:05,2961223.4182,"Wednesday"
AKAM,2013-04-24,16:01:00,16:00:57,3191646.3140,"Wednesday"
AKAM,2013-07-24,16:01:00,15:56:14,2983720.2727,"Wednesday"
ALTR,2012-07-24,16:15:00,16:06:24,3298841.3846,"Tuesday"
ALTR,2013-01-23,16:15:00,16:09:38,4020742.7556,"Wednesday"
ALTR,2013-04-25,16:15:00,16:07:30,3606349.2623,"Thursday"
ALTR,2013-07-23,16:15:00,16:07:09,3457273.4853,"Tuesday"
ALXN,2012-07-25,06:29:00,06:20:36,0.0000,"Wednesday"
ALXN,2013-04-25,06:29:00,06:20:09,40.0000,"Thursday"
ALXN,2013-07-25,06:29:00,06:22:11,855.9412,"Thursday"
AMAT,2012-05-17,16:04:00,16:03:03,NULL,NULL
AMAT,2012-08-15,16:04:00,15:58:48,15425000.0000,"Wednesday"
AMAT,2013-02-13,16:00:00,15:53:16,13293473.9844,"Wednesday"
AMAT,2013-05-16,15:58:00,15:48:36,14630682.5625,"Thursday"
AMAT,2013-08-15,16:03:00,16:02:19,14577202.8889,"Thursday"
AMGN,2012-07-26,16:03:00,15:55:33,4546818.3913,"Thursday"
AMGN,2013-01-23,16:01:00,15:59:11,4404796.4314,"Wednesday"
AMGN,2013-04-23,16:00:00,15:52:02,4766699.9836,"Tuesday"
AMGN,2013-07-30,16:02:00,15:54:04,4315424.2024,"Tuesday"
AMZN,2012-07-26,16:00:00,15:55:32,3345538.9565,"Thursday"
AMZN,2013-01-29,16:00:00,15:51:00,3444427.1944,"Tuesday"
AMZN,2013-04-25,16:00:00,15:57:00,3375638.4493,"Thursday"
AMZN,2013-07-25,16:01:00,15:52:15,3319581.0319,"Thursday"
APOL,2013-01-08,16:01:00,15:56:30,2035498.5000,"Tuesday"
BBBY,2012-06-20,16:15:00,16:04:36,2189381.7500,"Wednesday"
BBBY,2012-09-19,16:15:00,16:06:53,1944162.3793,"Wednesday"
BBBY,2012-12-19,16:15:00,16:05:58,2417914.1628,"Wednesday"
BBBY,2013-04-10,16:15:00,16:12:10,2515172.1795,"Wednesday"
