ticker,earnrelease_date,earnrelease_time,timestart,avg(t.twitterpermin)
ADBE,2012-06-19,16:04:00,16:02:03,10.775000
ADBE,2012-09-19,16:03:00,15:56:19,19.125000
ADBE,2012-12-13,16:03:00,16:02:24,14.325000
ADBE,2013-03-19,16:02:00,16:00:43,16.325000
ADBE,2013-09-17,16:04:00,16:02:25,35.400000
AKAM,2012-07-25,16:01:00,15:52:14,1.200000
AKAM,2012-10-24,16:01:00,15:56:34,0.675000
AKAM,2013-02-06,16:01:00,15:50:05,2.675000
AKAM,2013-04-24,16:01:00,16:00:57,0.775000
AKAM,2013-07-24,16:01:00,15:56:14,0.725000
ALTR,2012-07-24,16:15:00,16:06:24,2.025000
ALTR,2013-01-23,16:15:00,16:09:38,5.025000
ALTR,2013-04-25,16:15:00,16:07:30,4.775000
ALTR,2013-07-23,16:15:00,16:07:09,3.025000
ALXN,2012-07-25,06:29:00,06:20:36,0.050000
ALXN,2013-04-25,06:29:00,06:20:09,NULL
ALXN,2013-07-25,06:29:00,06:22:11,NULL
AMAT,2012-05-17,16:04:00,16:03:03,0.400000
AMAT,2012-08-15,16:04:00,15:58:48,5.200000
AMAT,2013-02-13,16:00:00,15:53:16,1.650000
AMAT,2013-05-16,15:58:00,15:48:36,0.450000
AMAT,2013-08-15,16:03:00,16:02:19,2.925000
AMGN,2012-07-26,16:03:00,15:55:33,2.375000
AMGN,2013-01-23,16:01:00,15:59:11,1.050000
AMGN,2013-04-23,16:00:00,15:52:02,1.875000
AMGN,2013-07-30,16:02:00,15:54:04,1.225000
AMZN,2012-07-26,16:00:00,15:55:32,149.000000
AMZN,2013-01-29,16:00:00,15:51:00,214.925000
AMZN,2013-04-25,16:00:00,15:57:00,175.075000
AMZN,2013-07-25,16:01:00,15:52:15,140.375000
APOL,2013-01-08,16:01:00,15:56:30,2.400000
BBBY,2012-06-20,16:15:00,16:04:36,0.000000
BBBY,2012-09-19,16:15:00,16:06:53,0.000000
BBBY,2012-12-19,16:15:00,16:05:58,0.000000
BBBY,2013-04-10,16:15:00,16:12:10,0.000000
BIDU,2012-07-23,16:00:00,15:58:16,7.450000
BIDU,2012-10-29,16:30:00,16:25:33,4.800000
BIDU,2013-04-25,16:30:00,16:28:32,5.375000
BIDU,2013-07-24,16:01:00,15:56:17,1.825000
BRCM,2012-07-24,16:04:00,15:55:53,0.700000
BRCM,2013-01-29,16:04:00,16:01:33,2.150000
BRCM,2013-04-23,16:04:00,16:02:34,3.100000
BRCM,2013-07-23,16:04:00,15:56:40,1.825000
CELG,2012-07-26,07:30:00,07:23:31,0.366667
CELG,2013-01-24,07:30:00,07:20:53,0.375000
CELG,2013-04-25,07:28:00,07:22:59,0.325000
CELG,2013-07-25,07:33:00,07:25:34,0.850000
CERN,2012-07-26,16:01:00,15:55:36,0.375000
CERN,2013-02-05,16:01:00,15:59:19,1.050000
CERN,2013-04-25,16:01:00,15:57:05,1.000000
CERN,2013-07-25,16:01:00,15:52:19,1.125000
CHRW,2012-07-24,16:15:00,16:06:28,0.025000
CHRW,2013-02-05,16:21:00,16:20:17,0.000000
CHRW,2013-05-07,16:15:00,16:12:42,0.000000
COST,2012-12-19,09:41:00,09:33:19,9.750000
COST,2013-03-13,14:39:00,14:32:56,5.425000
CSCO,2012-08-15,16:04:00,15:58:53,33.500000
CSCO,2013-02-13,16:04:00,16:03:55,24.325000
CSCO,2013-05-15,16:04:00,16:02:10,13.375000
CSCO,2013-08-14,16:04:00,15:54:33,15.075000
CTRP,2012-07-24,18:01:00,17:53:12,0.275000
CTSH,2013-02-07,06:00:00,05:57:43,1.800000
CTXS,2012-07-25,16:04:00,16:02:56,1.750000
CTXS,2012-10-24,16:04:00,15:56:41,1.275000
CTXS,2013-01-30,16:04:00,15:59:01,2.525000
CTXS,2013-04-24,16:04:00,16:01:02,3.650000
CTXS,2013-07-24,16:04:00,15:56:21,1.025000
DELL,2012-05-22,16:01:00,15:57:28,51.175000
DELL,2012-08-21,16:01:00,15:58:45,60.750000
DELL,2013-02-19,16:01:00,15:57:02,78.225000
DELL,2013-05-16,16:01:00,15:59:11,62.275000
DELL,2013-08-15,16:03:00,16:02:27,62.150000
DLTR,2012-05-17,08:00:00,07:55:29,0.525000
DLTR,2012-08-16,07:36:00,07:32:56,1.050000
DLTR,2013-02-27,07:34:00,07:32:41,1.200000
DLTR,2013-08-22,07:33:00,07:27:54,0.675000
ESRX,2012-08-07,16:01:00,15:59:27,0.400000
